depth_m,ground_m,lat,lon
0.0,2.87,35.68695833,139.7614375
0.0,3.02,35.68695833,139.7615625
0.0,2.71,35.68695833,139.7616875
0.0,2.85,35.68695833,139.7618125
0.0,2.85,35.68695833,139.7619375
0.0,0.85,35.68695833,139.7620625
0.0,2.58,35.68695833,139.7621875
0.0,3.21,35.68695833,139.7623125
0.0,3.21,35.68695833,139.7624375
0.0,3.23,35.68695833,139.7625625
0.0,3.24,35.68695833,139.7626875
0.0,3.21,35.68695833,139.7628125
0.0,3.09,35.68695833,139.7629375
0.0,3.07,35.68695833,139.7630625
0.0,3.11,35.68695833,139.7631875
0.0,3.13,35.68695833,139.7633125
0.0,3.2,35.68695833,139.7634375
0.0,3.4,35.68695833,139.7635625
0.0,3.53,35.68695833,139.7636875
0.0,3.42,35.68695833,139.7638125
0.0,3.39,35.68695833,139.7639375
0.0,3.41,35.68695833,139.7640625
0.0,3.5,35.68695833,139.7641875
0.0,3.56,35.68695833,139.7643125
0.0,3.54,35.68695833,139.7644375
0.0,3.59,35.68695833,139.7645625
0.0,3.53,35.68695833,139.7646875
0.0,3.48,35.68695833,139.7648125
0.0,3.54,35.68695833,139.7649375
0.0,3.45,35.68695833,139.7650625
0.0,3.42,35.68695833,139.7651875
0.0,3.35,35.68695833,139.7653125
0.0,3.18,35.68695833,139.7654375
0.0,3.14,35.68695833,139.7655625
0.0,3.24,35.68695833,139.7656875
0.0,3.41,35.68695833,139.7658125
0.0,3.52,35.68695833,139.7659375
0.0,3.47,35.68695833,139.7660625
0.0,3.05,35.68695833,139.7661875
0.0,3.1,35.68695833,139.7663125
0.0,3.22,35.68695833,139.7664375
0.0,3.33,35.68695833,139.7665625
0.0,3.4,35.68695833,139.7666875
0.0,3.38,35.68695833,139.7668125
0.0,3.41,35.68695833,139.7669375
0.0,3.39,35.68695833,139.7670625
0.0,3.34,35.68695833,139.7671875
0.0,3.32,35.68695833,139.7673125
0.0,3.22,35.68695833,139.7674375
0.0,3.21,35.68695833,139.7675625
0.0,3.2,35.68695833,139.7676875
0.0,3.18,35.68695833,139.7678125
0.0,3.18,35.68695833,139.7679375
0.0,3.22,35.68695833,139.7680625
0.0,3.24,35.68695833,139.7681875
0.0,3.28,35.68695833,139.7683125
0.0,3.3,35.68695833,139.7684375
0.0,3.08,35.68695833,139.7685625
0.0,3.04,35.68695833,139.7686875
0.0,3.2,35.68695833,139.7688125
0.0,3.43,35.68695833,139.7689375
0.0,3.78,35.68695833,139.7690625
0.0,4.3,35.68695833,139.7691875
0.0,4.88,35.68695833,139.7693125
0.0,5.29,35.68695833,139.7694375
0.0,4.7,35.68695833,139.7695625
0.243,3.81,35.68695833,139.7700625
0.019,4.47,35.68695833,139.7701875
0.025,4.21,35.68695833,139.7703125
0.014,4.21,35.68695833,139.7704375
0.013,4.29,35.68695833,139.7705625
0.0,5.68,35.68695833,139.7706875
0.0,5.48,35.68695833,139.7708125
0.0,5.35,35.68695833,139.7709375
0.0,5.47,35.68695833,139.7710625
0.0,5.5,35.68695833,139.7711875
0.0,5.52,35.68695833,139.7713125
0.0,5.59,35.68695833,139.7714375
0.0,5.6,35.68695833,139.7715625
0.0,5.65,35.68695833,139.7716875
0.0,5.58,35.68695833,139.7718125
0.0,5.11,35.68695833,139.7719375
0.0,4.84,35.68695833,139.7720625
0.0,4.84,35.68695833,139.7721875
0.0,5.06,35.68695833,139.7723125
0.0,5.1,35.68695833,139.7724375
0.0,5.06,35.68695833,139.7725625
0.0,5.03,35.68695833,139.7726875
0.0,4.94,35.68695833,139.7728125
0.0,4.81,35.68695833,139.7729375
0.0,4.76,35.68695833,139.7730625
0.0,4.7,35.68695833,139.7731875
0.0,4.7,35.68695833,139.7733125
0.0,4.61,35.68695833,139.7734375
0.099,4.61,35.68695833,139.7735625
0.101,4.54,35.68695833,139.7736875
0.115,4.54,35.68695833,139.7738125
0.0,4.65,35.68695833,139.7739375
0.0,4.41,35.68695833,139.7740625
0.0,4.43,35.68695833,139.7741875
0.0,4.43,35.68695833,139.7743125
0.0,4.4,35.68695833,139.7744375
0.0,4.4,35.68695833,139.7745625
0.0,4.47,35.68695833,139.7746875
0.0,4.56,35.68695833,139.7748125
0.0,4.45,35.68695833,139.7749375
0.0,4.34,35.68695833,139.7750625
0.0,4.26,35.68695833,139.7751875
0.0,4.26,35.68695833,139.7753125
0.0,4.26,35.68695833,139.7754375
0.0,4.41,35.68695833,139.7755625
0.0,4.5,35.68695833,139.7756875
0.0,4.6,35.68695833,139.7758125
0.0,4.5,35.68695833,139.7759375
0.0,2.85,35.686875,139.7614375
0.0,2.99,35.686875,139.7615625
0.0,2.69,35.686875,139.7616875
0.0,2.85,35.686875,139.7618125
0.0,2.85,35.686875,139.7619375
0.0,2.85,35.686875,139.7620625
0.0,2.85,35.686875,139.7621875
0.0,2.85,35.686875,139.7623125
0.0,2.85,35.686875,139.7624375
0.0,0.51,35.686875,139.7625625
0.0,2.89,35.686875,139.7626875
0.0,3.24,35.686875,139.7628125
0.0,3.24,35.686875,139.7629375
0.0,3.25,35.686875,139.7630625
0.0,3.23,35.686875,139.7631875
0.0,3.19,35.686875,139.7633125
0.0,3.24,35.686875,139.7634375
0.0,3.42,35.686875,139.7635625
0.0,3.51,35.686875,139.7636875
0.0,3.41,35.686875,139.7638125
0.0,3.33,35.686875,139.7639375
0.0,3.3,35.686875,139.7640625
0.0,3.31,35.686875,139.7641875
0.0,3.3,35.686875,139.7643125
0.0,3.37,35.686875,139.7644375
0.0,3.45,35.686875,139.7645625
0.0,3.48,35.686875,139.7646875
0.0,3.55,35.686875,139.7648125
0.0,3.45,35.686875,139.7649375
0.0,3.44,35.686875,139.7650625
0.0,3.5,35.686875,139.7651875
0.0,3.38,35.686875,139.7653125
0.0,3.37,35.686875,139.7654375
0.0,3.36,35.686875,139.7655625
0.0,3.39,35.686875,139.7656875
0.0,3.47,35.686875,139.7658125
0.0,3.54,35.686875,139.7659375
0.0,3.41,35.686875,139.7660625
0.0,3.01,35.686875,139.7661875
0.0,3.0,35.686875,139.7663125
0.0,3.3,35.686875,139.7664375
0.0,3.39,35.686875,139.7665625
0.0,3.37,35.686875,139.7666875
0.0,3.34,35.686875,139.7668125
0.0,3.42,35.686875,139.7669375
0.0,3.36,35.686875,139.7670625
0.0,3.29,35.686875,139.7671875
0.0,3.24,35.686875,139.7673125
0.0,3.22,35.686875,139.7674375
0.0,3.18,35.686875,139.7675625
0.0,3.14,35.686875,139.7676875
0.0,3.11,35.686875,139.7678125
0.0,3.11,35.686875,139.7679375
0.0,3.15,35.686875,139.7680625
0.0,3.21,35.686875,139.7681875
0.0,3.2,35.686875,139.7683125
0.0,3.2,35.686875,139.7684375
0.0,3.06,35.686875,139.7685625
0.0,3.05,35.686875,139.7686875
0.0,3.22,35.686875,139.7688125
0.0,3.45,35.686875,139.7689375
0.0,3.69,35.686875,139.7690625
0.0,3.99,35.686875,139.7691875
0.0,4.43,35.686875,139.7693125
0.0,4.95,35.686875,139.7694375
0.0,4.86,35.686875,139.7695625
0.0,1.68,35.686875,139.7700625
0.012,4.38,35.686875,139.7701875
0.014,4.27,35.686875,139.7703125
0.018,4.23,35.686875,139.7704375
0.03,4.16,35.686875,139.7705625
0.0,5.12,35.686875,139.7706875
0.0,5.56,35.686875,139.7708125
0.0,5.47,35.686875,139.7709375
0.0,5.5,35.686875,139.7710625
0.0,5.55,35.686875,139.7711875
0.0,5.59,35.686875,139.7713125
0.0,5.62,35.686875,139.7714375
0.0,5.65,35.686875,139.7715625
0.0,5.68,35.686875,139.7716875
0.0,5.54,35.686875,139.7718125
0.0,5.21,35.686875,139.7719375
0.0,5.18,35.686875,139.7720625
0.0,4.76,35.686875,139.7721875
0.0,4.97,35.686875,139.7723125
0.0,5.09,35.686875,139.7724375
0.0,5.09,35.686875,139.7725625
0.0,4.98,35.686875,139.7726875
0.0,4.88,35.686875,139.7728125
0.0,4.75,35.686875,139.7729375
0.0,4.7,35.686875,139.7730625
0.0,4.7,35.686875,139.7731875
0.0,4.65,35.686875,139.7733125
0.0,4.61,35.686875,139.7734375
0.0,4.66,35.686875,139.7735625
0.115,4.5,35.686875,139.7736875
0.115,4.49,35.686875,139.7738125
0.058,4.64,35.686875,139.7739375
0.0,4.75,35.686875,139.7740625
0.0,4.84,35.686875,139.7741875
0.0,4.84,35.686875,139.7743125
0.0,4.47,35.686875,139.7744375
0.0,4.5,35.686875,139.7745625
